NWM_version_number,model_initialization_time,model_output_valid_time,streamflow_value,streamID
v2.1,2021-05-21_00:00:00,2021-05-21_01:00:00,22.569999495521188,21609641
v2.1,2021-05-21_00:00:00,2021-05-21_02:00:00,22.439999498426918,21609641
v2.1,2021-05-21_00:00:00,2021-05-21_03:00:00,22.239999502897263,21609641
v2.1,2021-05-21_00:00:00,2021-05-21_04:00:00,21.969999508932236,21609641
v2.1,2021-05-21_00:00:00,2021-05-21_05:00:00,21.619999516755342,21609641
v2.1,2021-05-21_00:00:00,2021-05-21_06:00:00,21.21999952569604,21609641
v2.1,2021-05-21_00:00:00,2021-05-21_07:00:00,20.79999953508377,21609641
v2.1,2021-05-21_00:00:00,2021-05-21_08:00:00,20.389999544247985,21609641
v2.1,2021-05-21_00:00:00,2021-05-21_09:00:00,20.01999955251813,21609641
v2.1,2021-05-21_00:00:00,2021-05-21_10:00:00,19.70999955944717,21609641
v2.1,2021-05-21_00:00:00,2021-05-21_11:00:00,19.43999956548214,21609641
v2.1,2021-05-21_00:00:00,2021-05-21_12:00:00,19.20999957062304,21609641
v2.1,2021-05-21_00:00:00,2021-05-21_13:00:00,18.999999575316902,21609641
v2.1,2021-05-21_00:00:00,2021-05-21_14:00:00,18.78999958001077,21609641
v2.1,2021-05-21_00:00:00,2021-05-21_15:00:00,18.58999958448112,21609641
v2.1,2021-05-21_00:00:00,2021-05-21_16:00:00,18.38999958895147,21609641
v2.1,2021-05-21_00:00:00,2021-05-21_17:00:00,18.17999959364533,21609641
v2.1,2021-05-21_00:00:00,2021-05-21_18:00:00,17.979999598115683,21609641
v2.1,2021-05-21_01:00:00,2021-05-21_02:00:00,22.239999502897263,21609641
v2.1,2021-05-21_01:00:00,2021-05-21_03:00:00,22.10999950580299,21609641
v2.1,2021-05-21_01:00:00,2021-05-21_04:00:00,21.929999509826303,21609641
v2.1,2021-05-21_01:00:00,2021-05-21_05:00:00,21.669999515637755,21609641
v2.1,2021-05-21_01:00:00,2021-05-21_06:00:00,21.329999523237348,21609641
v2.1,2021-05-21_01:00:00,2021-05-21_07:00:00,20.939999531954527,21609641
