NWM_version_number,model_initialization_time,model_output_valid_time,streamflow_value,streamID
v2.1,2022-04-16_00:00:00,2022-04-16_01:00:00,24.06999946199357,21609641
v2.1,2022-04-16_00:00:00,2022-04-16_02:00:00,24.059999462217093,21609641
v2.1,2022-04-16_00:00:00,2022-04-16_03:00:00,24.06999946199357,21609641
v2.1,2022-04-16_00:00:00,2022-04-16_04:00:00,24.04999946244061,21609641
v2.1,2022-04-16_00:00:00,2022-04-16_05:00:00,24.00999946333468,21609641
v2.1,2022-04-16_00:00:00,2022-04-16_06:00:00,23.96999946422875,21609641
v2.1,2022-04-16_00:00:00,2022-04-16_07:00:00,23.9399994648993,21609641
v2.1,2022-04-16_00:00:00,2022-04-16_08:00:00,23.949999464675784,21609641
v2.1,2022-04-16_00:00:00,2022-04-16_09:00:00,23.9999994635582,21609641
v2.1,2022-04-16_00:00:00,2022-04-16_10:00:00,24.139999460428957,21609641
v2.1,2022-04-16_00:00:00,2022-04-16_11:00:00,24.289999457076192,21609641
v2.1,2022-04-16_00:00:00,2022-04-16_12:00:00,24.51999945193529,21609641
v2.1,2022-04-16_00:00:00,2022-04-16_13:00:00,24.989999441429973,21609641
v2.1,2022-04-16_00:00:00,2022-04-16_14:00:00,25.799999423325065,21609641
v2.1,2022-04-16_00:00:00,2022-04-16_15:00:00,26.1799994148314,21609641
v2.1,2022-04-16_00:00:00,2022-04-16_16:00:00,26.859999399632212,21609641
v2.1,2022-04-16_00:00:00,2022-04-16_17:00:00,28.069999372586608,21609641
v2.1,2022-04-16_00:00:00,2022-04-16_18:00:00,29.1099993493408,21609641
v2.1,2022-04-16_01:00:00,2022-04-16_02:00:00,24.229999458417296,21609641
v2.1,2022-04-16_01:00:00,2022-04-16_03:00:00,24.21999945864081,21609641
v2.1,2022-04-16_01:00:00,2022-04-16_04:00:00,24.19999945908785,21609641
v2.1,2022-04-16_01:00:00,2022-04-16_05:00:00,24.15999945998192,21609641
v2.1,2022-04-16_01:00:00,2022-04-16_06:00:00,24.109999461099505,21609641
v2.1,2022-04-16_01:00:00,2022-04-16_07:00:00,24.04999946244061,21609641
v2.1,2022-04-16_01:00:00,2022-04-16_08:00:00,24.01999946311116,21609641
