NWM_version_number,model_initialization_time,model_output_valid_time,streamflow_value,streamID
v2.1,2021-12-17_00:00:00,2021-12-17_01:00:00,5.689999872818589,21609641
v2.1,2021-12-17_00:00:00,2021-12-17_02:00:00,5.599999874830246,21609641
v2.1,2021-12-17_00:00:00,2021-12-17_03:00:00,5.479999877512455,21609641
v2.1,2021-12-17_00:00:00,2021-12-17_04:00:00,5.339999880641699,21609641
v2.1,2021-12-17_00:00:00,2021-12-17_05:00:00,5.169999884441495,21609641
v2.1,2021-12-17_00:00:00,2021-12-17_06:00:00,4.999999888241291,21609641
v2.1,2021-12-17_00:00:00,2021-12-17_07:00:00,4.829999892041087,21609641
v2.1,2021-12-17_00:00:00,2021-12-17_08:00:00,4.669999895617366,21609641
v2.1,2021-12-17_00:00:00,2021-12-17_09:00:00,4.52999989874661,21609641
v2.1,2021-12-17_00:00:00,2021-12-17_10:00:00,4.409999901428819,21609641
v2.1,2021-12-17_00:00:00,2021-12-17_11:00:00,4.29999990388751,21609641
v2.1,2021-12-17_00:00:00,2021-12-17_12:00:00,4.1999999061226845,21609641
v2.1,2021-12-17_00:00:00,2021-12-17_13:00:00,4.099999908357859,21609641
v2.1,2021-12-17_00:00:00,2021-12-17_14:00:00,4.009999910369515,21609641
v2.1,2021-12-17_00:00:00,2021-12-17_15:00:00,3.9099999126046896,21609641
v2.1,2021-12-17_00:00:00,2021-12-17_16:00:00,3.799999915063381,21609641
v2.1,2021-12-17_00:00:00,2021-12-17_17:00:00,3.689999917522073,21609641
v2.1,2021-12-17_00:00:00,2021-12-17_18:00:00,3.589999919757247,21609641
v2.1,2021-12-17_01:00:00,2021-12-17_02:00:00,5.76999987103045,21609641
v2.1,2021-12-17_01:00:00,2021-12-17_03:00:00,5.679999873042107,21609641
v2.1,2021-12-17_01:00:00,2021-12-17_04:00:00,5.569999875500798,21609641
v2.1,2021-12-17_01:00:00,2021-12-17_05:00:00,5.429999878630042,21609641
v2.1,2021-12-17_01:00:00,2021-12-17_06:00:00,5.279999881982803,21609641
