NWM_version_number,model_initialization_time,model_output_valid_time,streamflow_value,streamID
v2.1,2021-06-20_00:00:00,2021-06-20_01:00:00,4.669999895617366,21609641
v2.1,2021-06-20_00:00:00,2021-06-20_02:00:00,4.699999894946814,21609641
v2.1,2021-06-20_00:00:00,2021-06-20_03:00:00,4.7499998938292265,21609641
v2.1,2021-06-20_00:00:00,2021-06-20_04:00:00,4.809999892488122,21609641
v2.1,2021-06-20_00:00:00,2021-06-20_05:00:00,4.889999890699983,21609641
v2.1,2021-06-20_00:00:00,2021-06-20_06:00:00,4.9899998884648085,21609641
v2.1,2021-06-20_00:00:00,2021-06-20_07:00:00,5.099999886006117,21609641
v2.1,2021-06-20_00:00:00,2021-06-20_08:00:00,5.18999988399446,21609641
v2.1,2021-06-20_00:00:00,2021-06-20_09:00:00,5.269999882206321,21609641
v2.1,2021-06-20_00:00:00,2021-06-20_10:00:00,5.2999998815357685,21609641
v2.1,2021-06-20_00:00:00,2021-06-20_11:00:00,5.289999881759286,21609641
v2.1,2021-06-20_00:00:00,2021-06-20_12:00:00,5.239999882876873,21609641
v2.1,2021-06-20_00:00:00,2021-06-20_13:00:00,5.139999885112047,21609641
v2.1,2021-06-20_00:00:00,2021-06-20_14:00:00,4.999999888241291,21609641
v2.1,2021-06-20_00:00:00,2021-06-20_15:00:00,4.83999989181757,21609641
v2.1,2021-06-20_00:00:00,2021-06-20_16:00:00,4.669999895617366,21609641
v2.1,2021-06-20_00:00:00,2021-06-20_17:00:00,4.479999899864197,21609641
v2.1,2021-06-20_00:00:00,2021-06-20_18:00:00,4.289999904111028,21609641
v2.1,2021-06-20_01:00:00,2021-06-20_02:00:00,4.669999895617366,21609641
v2.1,2021-06-20_01:00:00,2021-06-20_03:00:00,4.699999894946814,21609641
v2.1,2021-06-20_01:00:00,2021-06-20_04:00:00,4.7499998938292265,21609641
v2.1,2021-06-20_01:00:00,2021-06-20_05:00:00,4.809999892488122,21609641
v2.1,2021-06-20_01:00:00,2021-06-20_06:00:00,4.899999890476465,21609641
v2.1,2021-06-20_01:00:00,2021-06-20_07:00:00,4.9899998884648085,21609641
v2.1,2021-06-20_01:00:00,2021-06-20_08:00:00,5.099999886006117,21609641
v2.1,2021-06-20_01:00:00,2021-06-20_09:00:00,5.18999988399446,21609641
v2.1,2021-06-20_01:00:00,2021-06-20_10:00:00,5.259999882429838,21609641
v2.1,2021-06-20_01:00:00,2021-06-20_11:00:00,5.2999998815357685,21609641
v2.1,2021-06-20_01:00:00,2021-06-20_12:00:00,5.289999881759286,21609641
v2.1,2021-06-20_01:00:00,2021-06-20_13:00:00,5.22999988310039,21609641
v2.1,2021-06-20_01:00:00,2021-06-20_14:00:00,5.129999885335565,21609641
v2.1,2021-06-20_01:00:00,2021-06-20_15:00:00,4.9899998884648085,21609641
v2.1,2021-06-20_01:00:00,2021-06-20_16:00:00,4.829999892041087,21609641
v2.1,2021-06-20_01:00:00,2021-06-20_17:00:00,4.649999896064401,21609641
v2.1,2021-06-20_01:00:00,2021-06-20_18:00:00,4.469999900087714,21609641
v2.1,2021-06-20_01:00:00,2021-06-20_19:00:00,4.269999904558063,21609641
v2.1,2021-06-20_02:00:00,2021-06-20_03:00:00,4.669999895617366,21609641
v2.1,2021-06-20_02:00:00,2021-06-20_04:00:00,4.699999894946814,21609641
