NWM_version_number,model_initialization_time,model_output_valid_time,streamflow_value,streamID
v2.1,2021-06-20_00:00:00,2021-06-20_01:00:00,2.939999934285879,20380357
v2.1,2021-06-20_00:00:00,2021-06-20_02:00:00,6.649999851360917,20380357
v2.1,2021-06-20_00:00:00,2021-06-20_03:00:00,12.169999727979302,20380357
v2.1,2021-06-20_00:00:00,2021-06-20_04:00:00,19.159999571740627,20380357
v2.1,2021-06-20_00:00:00,2021-06-20_05:00:00,26.71999940276146,20380357
v2.1,2021-06-20_00:00:00,2021-06-20_06:00:00,33.869999242946506,20380357
v2.1,2021-06-20_00:00:00,2021-06-20_07:00:00,39.87999910861254,20380357
v2.1,2021-06-20_00:00:00,2021-06-20_08:00:00,44.48999900557101,20380357
v2.1,2021-06-20_00:00:00,2021-06-20_09:00:00,47.78999893181026,20380357
v2.1,2021-06-20_00:00:00,2021-06-20_10:00:00,50.01999888196588,20380357
v2.1,2021-06-20_00:00:00,2021-06-20_11:00:00,51.46999884955585,20380357
v2.1,2021-06-20_00:00:00,2021-06-20_12:00:00,52.39999882876873,20380357
v2.1,2021-06-20_00:00:00,2021-06-20_13:00:00,52.97999881580472,20380357
v2.1,2021-06-20_00:00:00,2021-06-20_14:00:00,53.349998807534575,20380357
v2.1,2021-06-20_00:00:00,2021-06-20_15:00:00,53.56999880261719,20380357
v2.1,2021-06-20_00:00:00,2021-06-20_16:00:00,53.71999879926443,20380357
v2.1,2021-06-20_00:00:00,2021-06-20_17:00:00,53.80999879725277,20380357
v2.1,2021-06-20_00:00:00,2021-06-20_18:00:00,53.87999879568815,20380357
v2.1,2021-06-20_01:00:00,2021-06-20_02:00:00,2.919999934732914,20380357
v2.1,2021-06-20_01:00:00,2021-06-20_03:00:00,6.619999852031469,20380357
v2.1,2021-06-20_01:00:00,2021-06-20_04:00:00,12.139999728649856,20380357
v2.1,2021-06-20_01:00:00,2021-06-20_05:00:00,19.119999572634697,20380357
v2.1,2021-06-20_01:00:00,2021-06-20_06:00:00,26.68999940343201,20380357
v2.1,2021-06-20_01:00:00,2021-06-20_07:00:00,33.83999924361706,20380357
v2.1,2021-06-20_01:00:00,2021-06-20_08:00:00,39.84999910928309,20380357
v2.1,2021-06-20_01:00:00,2021-06-20_09:00:00,44.46999900601804,20380357
v2.1,2021-06-20_01:00:00,2021-06-20_10:00:00,47.769998932257295,20380357
v2.1,2021-06-20_01:00:00,2021-06-20_11:00:00,49.99999888241291,20380357
v2.1,2021-06-20_01:00:00,2021-06-20_12:00:00,51.45999884977937,20380357
v2.1,2021-06-20_01:00:00,2021-06-20_13:00:00,52.39999882876873,20380357
v2.1,2021-06-20_01:00:00,2021-06-20_14:00:00,52.97999881580472,20380357
v2.1,2021-06-20_01:00:00,2021-06-20_15:00:00,53.349998807534575,20380357
v2.1,2021-06-20_01:00:00,2021-06-20_16:00:00,53.57999880239368,20380357
v2.1,2021-06-20_01:00:00,2021-06-20_17:00:00,53.729998799040914,20380357
v2.1,2021-06-20_01:00:00,2021-06-20_18:00:00,53.82999879680574,20380357
v2.1,2021-06-20_01:00:00,2021-06-20_19:00:00,53.89999879524112,20380357
v2.1,2021-06-20_02:00:00,2021-06-20_03:00:00,2.919999934732914,20380357
v2.1,2021-06-20_02:00:00,2021-06-20_04:00:00,6.619999852031469,20380357
v2.1,2021-06-20_02:00:00,2021-06-20_05:00:00,12.129999728873372,20380357
v2.1,2021-06-20_02:00:00,2021-06-20_06:00:00,19.10999957285821,20380357
v2.1,2021-06-20_02:00:00,2021-06-20_07:00:00,26.669999403879046,20380357
v2.1,2021-06-20_02:00:00,2021-06-20_08:00:00,33.80999924428761,20380357
v2.1,2021-06-20_02:00:00,2021-06-20_09:00:00,39.829999109730124,20380357
v2.1,2021-06-20_02:00:00,2021-06-20_10:00:00,44.44999900646508,20380357
v2.1,2021-06-20_02:00:00,2021-06-20_11:00:00,47.74999893270433,20380357
v2.1,2021-06-20_02:00:00,2021-06-20_12:00:00,49.98999888263643,20380357
v2.1,2021-06-20_02:00:00,2021-06-20_13:00:00,51.45999884977937,20380357
v2.1,2021-06-20_02:00:00,2021-06-20_14:00:00,52.39999882876873,20380357
v2.1,2021-06-20_02:00:00,2021-06-20_15:00:00,52.9899988155812,20380357
v2.1,2021-06-20_02:00:00,2021-06-20_16:00:00,53.35999880731106,20380357
v2.1,2021-06-20_02:00:00,2021-06-20_17:00:00,53.59999880194664,20380357
v2.1,2021-06-20_02:00:00,2021-06-20_18:00:00,53.74999879859388,20380357
v2.1,2021-06-20_02:00:00,2021-06-20_19:00:00,53.84999879635871,20380357
v2.1,2021-06-20_02:00:00,2021-06-20_20:00:00,53.929998794570565,20380357
v2.1,2021-06-20_03:00:00,2021-06-20_04:00:00,2.9099999349564314,20380357
v2.1,2021-06-20_03:00:00,2021-06-20_05:00:00,6.599999852478504,20380357
v2.1,2021-06-20_03:00:00,2021-06-20_06:00:00,12.109999729320409,20380357
v2.1,2021-06-20_03:00:00,2021-06-20_07:00:00,19.079999573528767,20380357
v2.1,2021-06-20_03:00:00,2021-06-20_08:00:00,26.64999940432608,20380357
v2.1,2021-06-20_03:00:00,2021-06-20_09:00:00,33.789999244734645,20380357
v2.1,2021-06-20_03:00:00,2021-06-20_10:00:00,39.80999911017716,20380357
v2.1,2021-06-20_03:00:00,2021-06-20_11:00:00,44.4399990066886,20380357
v2.1,2021-06-20_03:00:00,2021-06-20_12:00:00,47.73999893292785,20380357
v2.1,2021-06-20_03:00:00,2021-06-20_13:00:00,49.98999888263643,20380357
v2.1,2021-06-20_03:00:00,2021-06-20_14:00:00,51.45999884977937,20380357
