NWM_version_number,model_initialization_time,model_output_valid_time,streamflow_value,streamID
v2.2,2022-09-13_00:00:00,2022-09-13_01:00:00,7.949999822303653,20380357
v2.2,2022-09-13_00:00:00,2022-09-13_02:00:00,17.749999603256583,20380357
v2.2,2022-09-13_00:00:00,2022-09-13_03:00:00,31.24999930150807,20380357
v2.2,2022-09-13_00:00:00,2022-09-13_04:00:00,47.08999894745648,20380357
v2.2,2022-09-13_00:00:00,2022-09-13_05:00:00,63.12999858893454,20380357
v2.2,2022-09-13_00:00:00,2022-09-13_06:00:00,77.45999826863408,20380357
v2.2,2022-09-13_00:00:00,2022-09-13_07:00:00,89.00999801047146,20380357
v2.2,2022-09-13_00:00:00,2022-09-13_08:00:00,97.60999781824648,20380357
v2.2,2022-09-13_00:00:00,2022-09-13_09:00:00,103.65999768301845,20380357
v2.2,2022-09-13_00:00:00,2022-09-13_10:00:00,107.7599975913763,20380357
v2.2,2022-09-13_00:00:00,2022-09-13_11:00:00,110.48999753035604,20380357
v2.2,2022-09-13_00:00:00,2022-09-13_12:00:00,112.31999748945236,20380357
v2.2,2022-09-13_00:00:00,2022-09-13_13:00:00,113.56999746151268,20380357
v2.2,2022-09-13_00:00:00,2022-09-13_14:00:00,114.44999744184317,20380357
v2.2,2022-09-13_00:00:00,2022-09-13_15:00:00,115.109997427091,20380357
v2.2,2022-09-13_00:00:00,2022-09-13_16:00:00,115.6299974154681,20380357
v2.2,2022-09-13_00:00:00,2022-09-13_17:00:00,116.06999740563332,20380357
v2.2,2022-09-13_00:00:00,2022-09-13_18:00:00,116.45999739691617,20380357
v2.2,2022-09-13_01:00:00,2022-09-13_02:00:00,7.949999822303653,20380357
v2.2,2022-09-13_01:00:00,2022-09-13_03:00:00,17.749999603256583,20380357
v2.2,2022-09-13_01:00:00,2022-09-13_04:00:00,31.269999301061038,20380357
v2.2,2022-09-13_01:00:00,2022-09-13_05:00:00,47.11999894678593,20380357
v2.2,2022-09-13_01:00:00,2022-09-13_06:00:00,63.19999858736992,20380357
v2.2,2022-09-13_01:00:00,2022-09-13_07:00:00,77.5599982663989,20380357
v2.2,2022-09-13_01:00:00,2022-09-13_08:00:00,89.13999800756574,20380357
v2.2,2022-09-13_01:00:00,2022-09-13_09:00:00,97.7699978146702,20380357
v2.2,2022-09-13_01:00:00,2022-09-13_10:00:00,103.84999767877162,20380357
v2.2,2022-09-13_01:00:00,2022-09-13_11:00:00,107.97999758645892,20380357
v2.2,2022-09-13_01:00:00,2022-09-13_12:00:00,110.72999752499165,20380357
v2.2,2022-09-13_01:00:00,2022-09-13_13:00:00,112.57999748364092,20380357
v2.2,2022-09-13_01:00:00,2022-09-13_14:00:00,113.83999745547771,20380357
v2.2,2022-09-13_01:00:00,2022-09-13_15:00:00,114.72999743558466,20380357
v2.2,2022-09-13_01:00:00,2022-09-13_16:00:00,115.399997420609,20380357
v2.2,2022-09-13_01:00:00,2022-09-13_17:00:00,115.92999740876256,20380357
v2.2,2022-09-13_01:00:00,2022-09-13_18:00:00,116.3699973989278,20380357
v2.2,2022-09-13_01:00:00,2022-09-13_19:00:00,116.75999739021064,20380357
v2.2,2022-09-13_02:00:00,2022-09-13_03:00:00,7.949999822303653,20380357
v2.2,2022-09-13_02:00:00,2022-09-13_04:00:00,17.759999603033066,20380357
v2.2,2022-09-13_02:00:00,2022-09-13_05:00:00,31.289999300614,20380357
v2.2,2022-09-13_02:00:00,2022-09-13_06:00:00,47.17999894544482,20380357
v2.2,2022-09-13_02:00:00,2022-09-13_07:00:00,63.27999858558178,20380357
v2.2,2022-09-13_02:00:00,2022-09-13_08:00:00,77.6799982637167,20380357
v2.2,2022-09-13_02:00:00,2022-09-13_09:00:00,89.29999800398946,20380357
v2.2,2022-09-13_02:00:00,2022-09-13_10:00:00,97.95999781042336,20380357
v2.2,2022-09-13_02:00:00,2022-09-13_11:00:00,104.05999767407776,20380357
v2.2,2022-09-13_02:00:00,2022-09-13_12:00:00,108.20999758131802,20380357
v2.2,2022-09-13_02:00:00,2022-09-13_13:00:00,110.98999751918018,20380357
v2.2,2022-09-13_02:00:00,2022-09-13_14:00:00,112.84999747760594,20380357
v2.2,2022-09-13_02:00:00,2022-09-13_15:00:00,114.11999744921924,20380357
v2.2,2022-09-13_02:00:00,2022-09-13_16:00:00,115.02999742887914,20380357
v2.2,2022-09-13_02:00:00,2022-09-13_17:00:00,115.69999741390347,20380357
