NWM_version_number,model_initialization_time,model_output_valid_time,streamflow_value,streamID
v2.2,2022-12-12_00:00:00,2022-12-12_01:00:00,6.929999845102429,20380357
v2.2,2022-12-12_00:00:00,2022-12-12_02:00:00,15.519999653100967,20380357
v2.2,2022-12-12_00:00:00,2022-12-12_03:00:00,27.359999388456345,20380357
v2.2,2022-12-12_00:00:00,2022-12-12_04:00:00,41.2199990786612,20380357
v2.2,2022-12-12_00:00:00,2022-12-12_05:00:00,55.18999876640737,20380357
v2.2,2022-12-12_00:00:00,2022-12-12_06:00:00,67.53999849036336,20380357
v2.2,2022-12-12_00:00:00,2022-12-12_07:00:00,77.30999827198684,20380357
v2.2,2022-12-12_00:00:00,2022-12-12_08:00:00,84.35999811440706,20380357
v2.2,2022-12-12_00:00:00,2022-12-12_09:00:00,89.03999800980091,20380357
v2.2,2022-12-12_00:00:00,2022-12-12_10:00:00,91.9199979454279,20380357
v2.2,2022-12-12_00:00:00,2022-12-12_11:00:00,93.54999790899456,20380357
v2.2,2022-12-12_00:00:00,2022-12-12_12:00:00,94.3299978915602,20380357
v2.2,2022-12-12_00:00:00,2022-12-12_13:00:00,94.57999788597226,20380357
v2.2,2022-12-12_00:00:00,2022-12-12_14:00:00,94.4999978877604,20380357
v2.2,2022-12-12_00:00:00,2022-12-12_15:00:00,94.2099978942424,20380357
v2.2,2022-12-12_00:00:00,2022-12-12_16:00:00,93.8099979031831,20380357
v2.2,2022-12-12_00:00:00,2022-12-12_17:00:00,93.32999791391194,20380357
v2.2,2022-12-12_00:00:00,2022-12-12_18:00:00,92.80999792553484,20380357
v2.2,2022-12-12_01:00:00,2022-12-12_02:00:00,6.869999846443534,20380357
v2.2,2022-12-12_01:00:00,2022-12-12_03:00:00,15.389999656006694,20380357
v2.2,2022-12-12_01:00:00,2022-12-12_04:00:00,27.139999393373728,20380357
v2.2,2022-12-12_01:00:00,2022-12-12_05:00:00,40.89999908581376,20380357
v2.2,2022-12-12_01:00:00,2022-12-12_06:00:00,54.77999877557159,20380357
v2.2,2022-12-12_01:00:00,2022-12-12_07:00:00,67.0599985010922,20380357
v2.2,2022-12-12_01:00:00,2022-12-12_08:00:00,76.76999828405678,20380357
v2.2,2022-12-12_01:00:00,2022-12-12_09:00:00,83.77999812737107,20380357
v2.2,2022-12-12_01:00:00,2022-12-12_10:00:00,88.43999802321196,20380357
v2.2,2022-12-12_01:00:00,2022-12-12_11:00:00,91.30999795906246,20380357
v2.2,2022-12-12_01:00:00,2022-12-12_12:00:00,92.92999792285264,20380357
v2.2,2022-12-12_01:00:00,2022-12-12_13:00:00,93.70999790541828,20380357
v2.2,2022-12-12_01:00:00,2022-12-12_14:00:00,93.96999789960682,20380357
v2.2,2022-12-12_01:00:00,2022-12-12_15:00:00,93.88999790139496,20380357
v2.2,2022-12-12_01:00:00,2022-12-12_16:00:00,93.60999790765344,20380357
v2.2,2022-12-12_01:00:00,2022-12-12_17:00:00,93.20999791659416,20380357
v2.2,2022-12-12_01:00:00,2022-12-12_18:00:00,92.72999792732298,20380357
v2.2,2022-12-12_01:00:00,2022-12-12_19:00:00,92.21999793872236,20380357
v2.2,2022-12-12_02:00:00,2022-12-12_03:00:00,6.809999847784638,20380357
v2.2,2022-12-12_02:00:00,2022-12-12_04:00:00,15.25999965891242,20380357
v2.2,2022-12-12_02:00:00,2022-12-12_05:00:00,26.91999939829111,20380357
v2.2,2022-12-12_02:00:00,2022-12-12_06:00:00,40.57999909296632,20380357
v2.2,2022-12-12_02:00:00,2022-12-12_07:00:00,54.3699987847358,20380357
v2.2,2022-12-12_02:00:00,2022-12-12_08:00:00,66.56999851204455,20380357
v2.2,2022-12-12_02:00:00,2022-12-12_09:00:00,76.2399982959032,20380357
v2.2,2022-12-12_02:00:00,2022-12-12_10:00:00,83.19999814033508,20380357
v2.2,2022-12-12_02:00:00,2022-12-12_11:00:00,87.839998036623,20380357
v2.2,2022-12-12_02:00:00,2022-12-12_12:00:00,90.69999797269702,20380357
v2.2,2022-12-12_02:00:00,2022-12-12_13:00:00,92.3199979364872,20380357
v2.2,2022-12-12_02:00:00,2022-12-12_14:00:00,93.09999791905284,20380357
v2.2,2022-12-12_02:00:00,2022-12-12_15:00:00,93.3599979132414,20380357
v2.2,2022-12-12_02:00:00,2022-12-12_16:00:00,93.27999791502953,20380357
v2.2,2022-12-12_02:00:00,2022-12-12_17:00:00,93.0099979210645,20380357
v2.2,2022-12-12_02:00:00,2022-12-12_18:00:00,92.6099979300052,20380357
v2.2,2022-12-12_02:00:00,2022-12-12_19:00:00,92.149997940287,20380357
v2.2,2022-12-12_02:00:00,2022-12-12_20:00:00,91.63999795168638,20380357
v2.2,2022-12-12_03:00:00,2022-12-12_04:00:00,6.749999849125743,20380357
v2.2,2022-12-12_03:00:00,2022-12-12_05:00:00,15.129999661818148,20380357
v2.2,2022-12-12_03:00:00,2022-12-12_06:00:00,26.69999940320849,20380357
v2.2,2022-12-12_03:00:00,2022-12-12_07:00:00,40.25999910011888,20380357
v2.2,2022-12-12_03:00:00,2022-12-12_08:00:00,53.95999879390001,20380357
v2.2,2022-12-12_03:00:00,2022-12-12_09:00:00,66.08999852277339,20380357
v2.2,2022-12-12_03:00:00,2022-12-12_10:00:00,75.69999830797315,20380357
v2.2,2022-12-12_03:00:00,2022-12-12_11:00:00,82.62999815307558,20380357
v2.2,2022-12-12_03:00:00,2022-12-12_12:00:00,87.24999804981053,20380357
v2.2,2022-12-12_03:00:00,2022-12-12_13:00:00,90.09999798610806,20380357
v2.2,2022-12-12_03:00:00,2022-12-12_14:00:00,91.70999795012176,20380357
v2.2,2022-12-12_03:00:00,2022-12-12_15:00:00,92.49999793246388,20380357
v2.2,2022-12-12_03:00:00,2022-12-12_16:00:00,92.75999792665245,20380357
v2.2,2022-12-12_03:00:00,2022-12-12_17:00:00,92.68999792821704,20380357
v2.2,2022-12-12_03:00:00,2022-12-12_18:00:00,92.41999793425202,20380357
v2.2,2022-12-12_03:00:00,2022-12-12_19:00:00,92.0299979429692,20380357
v2.2,2022-12-12_03:00:00,2022-12-12_20:00:00,91.569997953251,20380357
v2.2,2022-12-12_03:00:00,2022-12-12_21:00:00,91.07999796420336,20380357
v2.2,2022-12-12_04:00:00,2022-12-12_05:00:00,6.679999850690365,20380357
v2.2,2022-12-12_04:00:00,2022-12-12_06:00:00,14.98999966494739,20380357
v2.2,2022-12-12_04:00:00,2022-12-12_07:00:00,26.469999408349395,20380357
v2.2,2022-12-12_04:00:00,2022-12-12_08:00:00,39.93999910727143,20380357
v2.2,2022-12-12_04:00:00,2022-12-12_09:00:00,53.55999880284071,20380357
v2.2,2022-12-12_04:00:00,2022-12-12_10:00:00,65.6199985332787,20380357
v2.2,2022-12-12_04:00:00,2022-12-12_11:00:00,75.16999831981957,20380357
v2.2,2022-12-12_04:00:00,2022-12-12_12:00:00,82.06999816559255,20380357
v2.2,2022-12-12_04:00:00,2022-12-12_13:00:00,86.65999806299806,20380357
v2.2,2022-12-12_04:00:00,2022-12-12_14:00:00,89.49999799951911,20380357
v2.2,2022-12-12_04:00:00,2022-12-12_15:00:00,91.1099979635328,20380357
v2.2,2022-12-12_04:00:00,2022-12-12_16:00:00,91.89999794587492,20380357
v2.2,2022-12-12_04:00:00,2022-12-12_17:00:00,92.15999794006348,20380357
v2.2,2022-12-12_04:00:00,2022-12-12_18:00:00,92.09999794140458,20380357
v2.2,2022-12-12_04:00:00,2022-12-12_19:00:00,91.83999794721603,20380357
v2.2,2022-12-12_04:00:00,2022-12-12_20:00:00,91.4499979559332,20380357
v2.2,2022-12-12_04:00:00,2022-12-12_21:00:00,90.9999979659915,20380357
v2.2,2022-12-12_04:00:00,2022-12-12_22:00:00,90.51999797672032,20380357
v2.2,2022-12-12_05:00:00,2022-12-12_06:00:00,6.619999852031469,20380357
v2.2,2022-12-12_05:00:00,2022-12-12_07:00:00,14.859999667853115,20380357
v2.2,2022-12-12_05:00:00,2022-12-12_08:00:00,26.249999413266774,20380357
v2.2,2022-12-12_05:00:00,2022-12-12_09:00:00,39.62999911420047,20380357
v2.2,2022-12-12_05:00:00,2022-12-12_10:00:00,53.14999881200493,20380357
v2.2,2022-12-12_05:00:00,2022-12-12_11:00:00,65.13999854400754,20380357
v2.2,2022-12-12_05:00:00,2022-12-12_12:00:00,74.64999833144248,20380357
v2.2,2022-12-12_05:00:00,2022-12-12_13:00:00,81.50999817810953,20380357
v2.2,2022-12-12_05:00:00,2022-12-12_14:00:00,86.07999807596207,20380357
v2.2,2022-12-12_05:00:00,2022-12-12_15:00:00,88.90999801270664,20380357
v2.2,2022-12-12_05:00:00,2022-12-12_16:00:00,90.51999797672032,20380357
v2.2,2022-12-12_05:00:00,2022-12-12_17:00:00,91.30999795906246,20380357
v2.2,2022-12-12_05:00:00,2022-12-12_18:00:00,91.569997953251,20380357
v2.2,2022-12-12_05:00:00,2022-12-12_19:00:00,91.5199979543686,20380357
v2.2,2022-12-12_05:00:00,2022-12-12_20:00:00,91.25999796018004,20380357
v2.2,2022-12-12_05:00:00,2022-12-12_21:00:00,90.8899979684502,20380357
v2.2,2022-12-12_05:00:00,2022-12-12_22:00:00,90.44999797828496,20380357
v2.2,2022-12-12_05:00:00,2022-12-12_23:00:00,89.96999798901379,20380357
v2.2,2022-12-12_06:00:00,2022-12-12_07:00:00,6.559999853372574,20380357
v2.2,2022-12-12_06:00:00,2022-12-12_08:00:00,14.71999967098236,20380357
v2.2,2022-12-12_06:00:00,2022-12-12_09:00:00,26.02999941818416,20380357
v2.2,2022-12-12_06:00:00,2022-12-12_10:00:00,39.30999912135303,20380357
v2.2,2022-12-12_06:00:00,2022-12-12_11:00:00,52.74999882094562,20380357
v2.2,2022-12-12_06:00:00,2022-12-12_12:00:00,64.66999855451286,20380357
v2.2,2022-12-12_06:00:00,2022-12-12_13:00:00,74.12999834306538,20380357
v2.2,2022-12-12_06:00:00,2022-12-12_14:00:00,80.95999819040298,20380357
v2.2,2022-12-12_06:00:00,2022-12-12_15:00:00,85.50999808870256,20380357
v2.2,2022-12-12_06:00:00,2022-12-12_16:00:00,88.32999802567065,20380357
v2.2,2022-12-12_06:00:00,2022-12-12_17:00:00,89.92999798990786,20380357
v2.2,2022-12-12_06:00:00,2022-12-12_18:00:00,90.71999797224998,20380357
v2.2,2022-12-12_06:00:00,2022-12-12_19:00:00,90.989997966215,20380357
v2.2,2022-12-12_06:00:00,2022-12-12_20:00:00,90.9399979673326,20380357
v2.2,2022-12-12_06:00:00,2022-12-12_21:00:00,90.68999797292054,20380357
v2.2,2022-12-12_06:00:00,2022-12-12_22:00:00,90.32999798096716,20380357
v2.2,2022-12-12_06:00:00,2022-12-12_23:00:00,89.88999799080193,20380357
v2.2,2022-12-12_06:00:00,2022-12-13_00:00:00,89.41999800130725,20380357
v2.2,2022-12-12_07:00:00,2022-12-12_08:00:00,6.489999854937196,20380357
v2.2,2022-12-12_07:00:00,2022-12-12_09:00:00,14.589999673888087,20380357
v2.2,2022-12-12_07:00:00,2022-12-12_10:00:00,25.809999423101544,20380357
v2.2,2022-12-12_07:00:00,2022-12-12_11:00:00,38.99999912828207,20380357
v2.2,2022-12-12_07:00:00,2022-12-12_12:00:00,52.3599988296628,20380357
v2.2,2022-12-12_07:00:00,2022-12-12_13:00:00,64.20999856479466,20380357
v2.2,2022-12-12_07:00:00,2022-12-12_14:00:00,73.60999835468829,20380357
v2.2,2022-12-12_07:00:00,2022-12-12_15:00:00,80.40999820269644,20380357
v2.2,2022-12-12_07:00:00,2022-12-12_16:00:00,84.94999810121953,20380357
v2.2,2022-12-12_07:00:00,2022-12-12_17:00:00,87.75999803841114,20380357
v2.2,2022-12-12_07:00:00,2022-12-12_18:00:00,89.35999800264835,20380357
v2.2,2022-12-12_07:00:00,2022-12-12_19:00:00,90.14999798499048,20380357
v2.2,2022-12-12_07:00:00,2022-12-12_20:00:00,90.41999797895552,20380357
v2.2,2022-12-12_07:00:00,2022-12-12_21:00:00,90.37999797984958,20380357
v2.2,2022-12-12_07:00:00,2022-12-12_22:00:00,90.139997985214,20380357
v2.2,2022-12-12_07:00:00,2022-12-12_23:00:00,89.77999799326062,20380357
v2.2,2022-12-12_07:00:00,2022-12-13_00:00:00,89.34999800287187,20380357
v2.2,2022-12-12_07:00:00,2022-12-13_01:00:00,88.88999801315367,20380357
v2.2,2022-12-12_08:00:00,2022-12-12_09:00:00,6.4299998562783,20380357
v2.2,2022-12-12_08:00:00,2022-12-12_10:00:00,14.469999676570296,20380357
v2.2,2022-12-12_08:00:00,2022-12-12_11:00:00,25.59999942779541,20380357
v2.2,2022-12-12_08:00:00,2022-12-12_12:00:00,38.69999913498759,20380357
v2.2,2022-12-12_08:00:00,2022-12-12_13:00:00,51.96999883837998,20380357
v2.2,2022-12-12_08:00:00,2022-12-12_14:00:00,63.74999857507646,20380357
v2.2,2022-12-12_08:00:00,2022-12-12_15:00:00,73.09999836608768,20380357
v2.2,2022-12-12_08:00:00,2022-12-12_16:00:00,79.86999821476638,20380357
v2.2,2022-12-12_08:00:00,2022-12-12_17:00:00,84.38999811373651,20380357
v2.2,2022-12-12_08:00:00,2022-12-12_18:00:00,87.18999805115163,20380357
v2.2,2022-12-12_08:00:00,2022-12-12_19:00:00,88.78999801538885,20380357
v2.2,2022-12-12_08:00:00,2022-12-12_20:00:00,89.57999799773097,20380357
v2.2,2022-12-12_08:00:00,2022-12-12_21:00:00,89.85999799147248,20380357
v2.2,2022-12-12_08:00:00,2022-12-12_22:00:00,89.81999799236655,20380357
v2.2,2022-12-12_08:00:00,2022-12-12_23:00:00,89.58999799750745,20380357
v2.2,2022-12-12_08:00:00,2022-12-13_00:00:00,89.23999800533056,20380357
v2.2,2022-12-12_08:00:00,2022-12-13_01:00:00,88.8199980147183,20380357
v2.2,2022-12-12_08:00:00,2022-12-13_02:00:00,88.3599980250001,20380357
v2.2,2022-12-12_09:00:00,2022-12-12_10:00:00,6.369999857619405,20380357
v2.2,2022-12-12_09:00:00,2022-12-12_11:00:00,14.339999679476024,20380357
v2.2,2022-12-12_09:00:00,2022-12-12_12:00:00,25.379999432712797,20380357
v2.2,2022-12-12_09:00:00,2022-12-12_13:00:00,38.38999914191663,20380357
v2.2,2022-12-12_09:00:00,2022-12-12_14:00:00,51.57999884709716,20380357
v2.2,2022-12-12_09:00:00,2022-12-12_15:00:00,63.28999858535826,20380357
v2.2,2022-12-12_09:00:00,2022-12-12_16:00:00,72.59999837726355,20380357
v2.2,2022-12-12_09:00:00,2022-12-12_17:00:00,79.32999822683632,20380357
v2.2,2022-12-12_09:00:00,2022-12-12_18:00:00,83.83999812602997,20380357
v2.2,2022-12-12_09:00:00,2022-12-12_19:00:00,86.62999806366861,20380357
v2.2,2022-12-12_09:00:00,2022-12-12_20:00:00,88.21999802812934,20380357
v2.2,2022-12-12_09:00:00,2022-12-12_21:00:00,89.01999801024795,20380357
v2.2,2022-12-12_09:00:00,2022-12-12_22:00:00,89.30999800376594,20380357
v2.2,2022-12-12_09:00:00,2022-12-12_23:00:00,89.26999800466001,20380357
v2.2,2022-12-12_09:00:00,2022-12-13_00:00:00,89.03999800980091,20380357
v2.2,2022-12-12_09:00:00,2022-12-13_01:00:00,88.6999980174005,20380357
v2.2,2022-12-12_09:00:00,2022-12-13_02:00:00,88.28999802656472,20380357
v2.2,2022-12-12_09:00:00,2022-12-13_03:00:00,87.839998036623,20380357
v2.2,2022-12-12_10:00:00,2022-12-12_11:00:00,6.309999858960509,20380357
v2.2,2022-12-12_10:00:00,2022-12-12_12:00:00,14.20999968238175,20380357
v2.2,2022-12-12_10:00:00,2022-12-12_13:00:00,25.16999943740666,20380357
v2.2,2022-12-12_10:00:00,2022-12-12_14:00:00,38.08999914862216,20380357
v2.2,2022-12-12_10:00:00,2022-12-12_15:00:00,51.19999885559082,20380357
v2.2,2022-12-12_10:00:00,2022-12-12_16:00:00,62.83999859541655,20380357
v2.2,2022-12-12_10:00:00,2022-12-12_17:00:00,72.09999838843942,20380357
v2.2,2022-12-12_10:00:00,2022-12-12_18:00:00,78.80999823845923,20380357
v2.2,2022-12-12_10:00:00,2022-12-12_19:00:00,83.28999813832343,20380357
v2.2,2022-12-12_10:00:00,2022-12-12_20:00:00,86.07999807596207,20380357
v2.2,2022-12-12_10:00:00,2022-12-12_21:00:00,87.6699980404228,20380357
v2.2,2022-12-12_10:00:00,2022-12-12_22:00:00,88.4699980225414,20380357
v2.2,2022-12-12_10:00:00,2022-12-12_23:00:00,88.7599980160594,20380357
v2.2,2022-12-12_10:00:00,2022-12-13_00:00:00,88.72999801672995,20380357
v2.2,2022-12-12_10:00:00,2022-12-13_01:00:00,88.50999802164733,20380357
v2.2,2022-12-12_10:00:00,2022-12-13_02:00:00,88.17999802902341,20380357
v2.2,2022-12-12_10:00:00,2022-12-13_03:00:00,87.76999803818762,20380357
v2.2,2022-12-12_10:00:00,2022-12-13_04:00:00,87.32999804802239,20380357
v2.2,2022-12-12_11:00:00,2022-12-12_12:00:00,6.259999860078096,20380357
v2.2,2022-12-12_11:00:00,2022-12-12_13:00:00,14.089999685063958,20380357
v2.2,2022-12-12_11:00:00,2022-12-12_14:00:00,24.969999441877007,20380357
v2.2,2022-12-12_11:00:00,2022-12-12_15:00:00,37.79999915510416,20380357
v2.2,2022-12-12_11:00:00,2022-12-12_16:00:00,50.81999886408448,20380357
v2.2,2022-12-12_11:00:00,2022-12-12_17:00:00,62.39999860525131,20380357
v2.2,2022-12-12_11:00:00,2022-12-12_18:00:00,71.60999839939177,20380357
v2.2,2022-12-12_11:00:00,2022-12-12_19:00:00,78.28999825008214,20380357
v2.2,2022-12-12_11:00:00,2022-12-12_20:00:00,82.75999815016985,20380357
v2.2,2022-12-12_11:00:00,2022-12-12_21:00:00,85.53999808803201,20380357
v2.2,2022-12-12_11:00:00,2022-12-12_22:00:00,87.12999805249274,20380357
v2.2,2022-12-12_11:00:00,2022-12-12_23:00:00,87.92999803461134,20380357
v2.2,2022-12-12_11:00:00,2022-12-13_00:00:00,88.21999802812934,20380357
v2.2,2022-12-12_11:00:00,2022-12-13_01:00:00,88.19999802857637,20380357
v2.2,2022-12-12_11:00:00,2022-12-13_02:00:00,87.98999803327024,20380357
v2.2,2022-12-12_11:00:00,2022-12-13_03:00:00,87.65999804064631,20380357
v2.2,2022-12-12_11:00:00,2022-12-13_04:00:00,87.25999804958701,20380357
v2.2,2022-12-12_11:00:00,2022-12-13_05:00:00,86.82999805919826,20380357
v2.2,2022-12-12_12:00:00,2022-12-12_13:00:00,6.199999861419201,20380357
v2.2,2022-12-12_12:00:00,2022-12-12_14:00:00,13.969999687746167,20380357
v2.2,2022-12-12_12:00:00,2022-12-12_15:00:00,24.76999944634736,20380357
v2.2,2022-12-12_12:00:00,2022-12-12_16:00:00,37.509999161586165,20380357
v2.2,2022-12-12_12:00:00,2022-12-12_17:00:00,50.44999887235463,20380357
v2.2,2022-12-12_12:00:00,2022-12-12_18:00:00,61.96999861486256,20380357
v2.2,2022-12-12_12:00:00,2022-12-12_19:00:00,71.1299984101206,20380357
v2.2,2022-12-12_12:00:00,2022-12-12_20:00:00,77.77999826148152,20380357
v2.2,2022-12-12_12:00:00,2022-12-12_21:00:00,82.22999816201627,20380357
v2.2,2022-12-12_12:00:00,2022-12-12_22:00:00,84.99999810010195,20380357
v2.2,2022-12-12_12:00:00,2022-12-12_23:00:00,86.58999806456268,20380357
v2.2,2022-12-12_12:00:00,2022-12-13_00:00:00,87.38999804668128,20380357
v2.2,2022-12-12_12:00:00,2022-12-13_01:00:00,87.68999803997576,20380357
v2.2,2022-12-12_12:00:00,2022-12-13_02:00:00,87.67999804019928,20380357
v2.2,2022-12-12_12:00:00,2022-12-13_03:00:00,87.46999804489315,20380357
v2.2,2022-12-12_12:00:00,2022-12-13_04:00:00,87.1499980520457,20380357
v2.2,2022-12-12_12:00:00,2022-12-13_05:00:00,86.75999806076288,20380357
v2.2,2022-12-12_12:00:00,2022-12-13_06:00:00,86.32999807037413,20380357
v2.2,2022-12-12_13:00:00,2022-12-12_14:00:00,6.149999862536788,20380357
v2.2,2022-12-12_13:00:00,2022-12-12_15:00:00,13.849999690428376,20380357
v2.2,2022-12-12_13:00:00,2022-12-12_16:00:00,24.569999450817704,20380357
v2.2,2022-12-12_13:00:00,2022-12-12_17:00:00,37.21999916806817,20380357
v2.2,2022-12-12_13:00:00,2022-12-12_18:00:00,50.07999888062477,20380357
v2.2,2022-12-12_13:00:00,2022-12-12_19:00:00,61.53999862447381,20380357
v2.2,2022-12-12_13:00:00,2022-12-12_20:00:00,70.65999842062593,20380357
v2.2,2022-12-12_13:00:00,2022-12-12_21:00:00,77.26999827288091,20380357
v2.2,2022-12-12_13:00:00,2022-12-12_22:00:00,81.70999817363918,20380357
v2.2,2022-12-12_13:00:00,2022-12-12_23:00:00,84.46999811194837,20380357
v2.2,2022-12-12_13:00:00,2022-12-13_00:00:00,86.0599980764091,20380357
v2.2,2022-12-12_13:00:00,2022-12-13_01:00:00,86.86999805830419,20380357
v2.2,2022-12-12_13:00:00,2022-12-13_02:00:00,87.16999805159867,20380357
v2.2,2022-12-12_13:00:00,2022-12-13_03:00:00,87.15999805182219,20380357
v2.2,2022-12-12_13:00:00,2022-12-13_04:00:00,86.95999805629253,20380357
v2.2,2022-12-12_13:00:00,2022-12-13_05:00:00,86.64999806322157,20380357
v2.2,2022-12-12_13:00:00,2022-12-13_06:00:00,86.26999807171524,20380357
v2.2,2022-12-12_13:00:00,2022-12-13_07:00:00,85.84999808110297,20380357
v2.2,2022-12-12_14:00:00,2022-12-12_15:00:00,6.099999863654375,20380357
v2.2,2022-12-12_14:00:00,2022-12-12_16:00:00,13.739999692887068,20380357
v2.2,2022-12-12_14:00:00,2022-12-12_17:00:00,24.37999945506453,20380357
v2.2,2022-12-12_14:00:00,2022-12-12_18:00:00,36.93999917432666,20380357
v2.2,2022-12-12_14:00:00,2022-12-12_19:00:00,49.7199988886714,20380357
v2.2,2022-12-12_14:00:00,2022-12-12_20:00:00,61.11999863386154,20380357
v2.2,2022-12-12_14:00:00,2022-12-12_21:00:00,70.18999843113124,20380357
v2.2,2022-12-12_14:00:00,2022-12-12_22:00:00,76.77999828383327,20380357
v2.2,2022-12-12_14:00:00,2022-12-12_23:00:00,81.19999818503857,20380357
v2.2,2022-12-12_14:00:00,2022-12-13_00:00:00,83.94999812357128,20380357
