NWM_version_number,model_initialization_time,model_output_valid_time,streamflow_value,streamID
v2.1,2021-09-18_00:00:00,2021-09-18_01:00:00,5.6599998734891415,20380357
v2.1,2021-09-18_00:00:00,2021-09-18_02:00:00,12.73999971523881,20380357
v2.1,2021-09-18_00:00:00,2021-09-18_03:00:00,22.749999491497874,20380357
v2.1,2021-09-18_00:00:00,2021-09-18_04:00:00,34.759999223053455,20380357
v2.1,2021-09-18_00:00:00,2021-09-18_05:00:00,47.149998946115375,20380357
v2.1,2021-09-18_00:00:00,2021-09-18_06:00:00,58.36999869532883,20380357
v2.1,2021-09-18_00:00:00,2021-09-18_07:00:00,67.47999849170446,20380357
v2.1,2021-09-18_00:00:00,2021-09-18_08:00:00,74.26999833993614,20380357
v2.1,2021-09-18_00:00:00,2021-09-18_09:00:00,78.98999823443592,20380357
v2.1,2021-09-18_00:00:00,2021-09-18_10:00:00,82.12999816425145,20380357
v2.1,2021-09-18_00:00:00,2021-09-18_11:00:00,84.12999811954796,20380357
v2.1,2021-09-18_00:00:00,2021-09-18_12:00:00,85.37999809160829,20380357
v2.1,2021-09-18_00:00:00,2021-09-18_13:00:00,86.12999807484448,20380357
v2.1,2021-09-18_00:00:00,2021-09-18_14:00:00,86.56999806500971,20380357
v2.1,2021-09-18_00:00:00,2021-09-18_15:00:00,86.81999805942178,20380357
v2.1,2021-09-18_00:00:00,2021-09-18_16:00:00,86.93999805673957,20380357
v2.1,2021-09-18_00:00:00,2021-09-18_17:00:00,86.9799980558455,20380357
v2.1,2021-09-18_00:00:00,2021-09-18_18:00:00,86.93999805673957,20380357
v2.1,2021-09-18_01:00:00,2021-09-18_02:00:00,5.6599998734891415,20380357
v2.1,2021-09-18_01:00:00,2021-09-18_03:00:00,12.729999715462329,20380357
v2.1,2021-09-18_01:00:00,2021-09-18_04:00:00,22.72999949194491,20380357
v2.1,2021-09-18_01:00:00,2021-09-18_05:00:00,34.719999223947525,20380357
